dbn,expansion_cohort,estimated_start_year,years_with_mshp
10X244,cohort_1_pre2010,2005,20
10X243,cohort_1_pre2010,2005,20
09X328,cohort_1_pre2010,2005,20
10X260,cohort_1_pre2010,2005,20
10X440,cohort_1_pre2010,2005,20
08X282,cohort_2_2010_2015,2012,12
08X561,cohort_2_2010_2015,2012,12
09X543,cohort_2_2010_2015,2012,12
10X368,cohort_2_2010_2015,2012,12
10X696,cohort_2_2010_2015,2012,12
07X379,cohort_3_2015_2020,2017,8
07X527,cohort_3_2015_2020,2017,8
09X567,cohort_3_2015_2020,2017,8
10X008,cohort_3_2015_2020,2017,8
84X704,cohort_4_2020_present,2021,4
84X380,cohort_4_2020_present,2021,4
